epoch,step,test_acc,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,,9.374484062194824,,
0,19,,,,,7.676382064819336,,
0,29,,,,,5.681546688079834,,
0,39,,,,,5.125860691070557,,
0,49,,,,,3.6903297901153564,,
0,59,,,,,1.323927879333496,,
0,69,,,,,2.5977284908294678,,
0,79,,,,,1.5066970586776733,,
0,89,,,,,1.0353329181671143,,
0,99,,,,,1.428011417388916,,
0,109,,,,,2.7386245727539062,,
0,119,,,,,3.679046154022217,,
0,129,,,,,1.9704440832138062,,
0,139,,,,,2.6938540935516357,,
0,149,,,,,1.7689839601516724,,
0,159,,,,,1.6197022199630737,,
0,169,,,,,1.9174964427947998,,
0,179,,,,,2.5796334743499756,,
0,189,,,,,1.3338202238082886,,
0,198,,,,,,0.005007152911275625,1.9819046258926392
0,199,,,,,1.7994132041931152,,
0,209,,,,,2.3175156116485596,,
0,219,,,,,1.2402420043945312,,
0,229,,,,,3.23948073387146,,
0,239,,,,,1.7275608777999878,,
0,249,,,,,1.0282214879989624,,
0,259,,,,,2.1209537982940674,,
0,269,,,,,1.051264762878418,,
0,279,,,,,2.2354354858398438,,
0,289,,,,,2.528233051300049,,
0,299,,,,,1.2845643758773804,,
0,309,,,,,2.1607935428619385,,
0,319,,,,,1.39829421043396,,
0,329,,,,,1.554155707359314,,
0,339,,,,,1.5070934295654297,,
0,349,,,,,2.3412230014801025,,
0,359,,,,,1.812182068824768,,
0,369,,,,,1.957862138748169,,
0,379,,,,,1.9056452512741089,,
0,389,,,,,2.8169331550598145,,
0,397,,,,,,0.017167381942272186,1.8290715217590332
0,398,,,0.028796739876270294,2.6585896015167236,,,
1,399,,,,,1.1987671852111816,,
1,409,,,,,0.9088231921195984,,
1,419,,,,,1.2045484781265259,,
1,429,,,,,1.1300058364868164,,
1,439,,,,,2.301767349243164,,
1,449,,,,,3.062937021255493,,
1,459,,,,,1.5891801118850708,,
1,469,,,,,2.809730052947998,,
1,479,,,,,1.4082322120666504,,
1,489,,,,,1.9142327308654785,,
1,499,,,,,1.8417540788650513,,
1,509,,,,,1.3212133646011353,,
1,519,,,,,1.9437596797943115,,
1,529,,,,,1.4032412767410278,,
1,539,,,,,2.1291089057922363,,
1,549,,,,,2.9403350353240967,,
1,559,,,,,2.1330299377441406,,
1,569,,,,,1.373308777809143,,
1,579,,,,,2.1000378131866455,,
1,589,,,,,2.6763594150543213,,
1,597,,,,,,0.02360515110194683,1.7814308404922485
1,599,,,,,1.2601937055587769,,
1,609,,,,,1.6743134260177612,,
1,619,,,,,1.6700791120529175,,
1,629,,,,,1.5748841762542725,,
1,639,,,,,1.9831713438034058,,
1,649,,,,,1.5811152458190918,,
1,659,,,,,1.0821462869644165,,
1,669,,,,,1.6846789121627808,,
1,679,,,,,1.5537261962890625,,
1,689,,,,,2.255795955657959,,
1,699,,,,,3.018169403076172,,
1,709,,,,,1.341402292251587,,
1,719,,,,,1.5487360954284668,,
1,729,,,,,2.9833357334136963,,
1,739,,,,,1.9553171396255493,,
1,749,,,,,1.545134425163269,,
1,759,,,,,3.7478079795837402,,
1,769,,,,,2.279820442199707,,
1,779,,,,,1.0984933376312256,,
1,789,,,,,1.5969734191894531,,
1,796,,,,,,0.007868383079767227,1.705170750617981
1,797,,,0.012847775593400002,1.773716926574707,,,
2,799,,,,,1.3260480165481567,,
2,809,,,,,1.5043894052505493,,
2,819,,,,,2.0081169605255127,,
2,829,,,,,2.051825761795044,,
2,839,,,,,1.2887797355651855,,
2,849,,,,,1.5294055938720703,,
