epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_cer,val_loss,val_wer
1,59,,,6.186627388000488,,,,
1,69,,,5.8460164070129395,,,,
1,79,,,4.958121299743652,,,,
1,89,,,6.009723663330078,,,,
1,99,,,5.910107135772705,,,,
1,99,,,,0.0,3.208125591278076,5.7227349281311035,0.9993220567703247
1,99,0.0,5.755643367767334,,,,,
2,109,,,5.0806989669799805,,,,
2,119,,,5.402795791625977,,,,
2,129,,,5.566090106964111,,,,
2,139,,,5.585971355438232,,,,
2,149,,,6.03336763381958,,,,
2,149,,,,0.0,3.2357494831085205,5.652065277099609,0.9361448884010315
2,149,0.0,5.65854549407959,,,,,
