epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,8.561468124389648,,
0,12,,,,0.08768144249916077,7.734088897705078
0,19,,,6.617038249969482,,
0,24,,,,0.08944684267044067,6.469846248626709
0,24,0.06744077801704407,7.925905704498291,,,
1,29,,,6.565732479095459,,
1,37,,,,0.05198116973042488,6.071890354156494
1,39,,,5.533113956451416,,
1,49,,,5.855125904083252,,
1,49,,,,0.018242448568344116,5.662736892700195
1,49,0.057973168790340424,6.1134934425354,,,
2,59,,,6.0090012550354,,
2,62,,,,0.011377010494470596,5.353940486907959
2,69,,,4.964565753936768,,
2,74,,,,0.01745782606303692,5.091766357421875
2,74,0.014583510346710682,5.414166450500488,,,
3,79,,,5.158285140991211,,
3,87,,,,0.020204002037644386,4.9088521003723145
3,89,,,5.466702461242676,,
3,99,,,5.185529708862305,,
3,99,,,,0.021773245185613632,4.679288864135742
3,99,0.01755540445446968,4.889479637145996,,,
4,109,,,3.7418127059936523,,
4,112,,,,0.024127108976244926,4.58450984954834
4,119,,,4.042846202850342,,
4,124,,,,0.02059631235897541,4.432271957397461
4,124,0.019105035811662674,4.47027587890625,,,
5,129,,,5.278249263763428,,
5,137,,,,0.024127108976244926,4.307508945465088
5,139,,,3.2855236530303955,,
5,149,,,3.7776613235473633,,
5,149,,,,0.025107884779572487,4.2104363441467285
5,149,0.022798676043748856,4.079519271850586,,,
6,159,,,3.91051983833313,,
6,162,,,,0.020204002037644386,4.098759651184082
6,169,,,3.929197311401367,,
6,174,,,,0.029030991718173027,4.017428874969482
6,174,0.02220429666340351,3.7581591606140137,,,
7,179,,,2.658684015274048,,
7,187,,,,0.021969400346279144,3.9785895347595215
7,189,,,3.293957233428955,,
7,199,,,1.9920654296875,,
7,199,,,,0.024715574458241463,3.8380866050720215
7,199,0.023881293833255768,3.410214900970459,,,
8,209,,,3.5800695419311523,,
8,212,,,,0.024715574458241463,3.870178461074829
8,219,,,3.060075521469116,,
8,224,,,,0.022950176149606705,3.78939151763916
8,224,0.022437801584601402,3.082648277282715,,,
9,229,,,2.0808143615722656,,
9,237,,,,0.023930953815579414,3.783360481262207
9,239,,,1.0807350873947144,,
9,249,,,2.7092316150665283,,
9,249,,,,0.02334248647093773,3.737607717514038
9,249,0.022883586585521698,2.7519922256469727,,,
10,259,,,1.4582066535949707,,
10,262,,,,0.0204001571983099,3.724067449569702
10,269,,,1.0328446626663208,,
10,274,,,,0.01863475888967514,3.733156681060791
10,274,0.02112167701125145,2.4306693077087402,,,
11,279,,,2.7480106353759766,,
11,287,,,,0.01667320542037487,3.6941118240356445
11,289,,,1.322096824645996,,
11,299,,,2.310046911239624,,
11,299,,,,0.015300117433071136,3.6886467933654785
11,299,0.020612210035324097,2.1374831199645996,,,
12,309,,,1.1700470447540283,,
12,312,,,,0.02059631235897541,3.677062749862671
12,319,,,1.2372456789016724,,
12,324,,,,0.016280895099043846,3.6308062076568604
12,324,0.018425745889544487,1.9073377847671509,,,
13,329,,,2.8169398307800293,,
13,337,,,,0.017261670902371407,3.6791694164276123
13,339,,,2.1435799598693848,,
13,349,,,2.1384871006011963,,
13,349,,,,0.015888582915067673,3.6167898178100586
13,349,0.018255922943353653,1.6543693542480469,,,
14,359,,,2.305657148361206,,
14,362,,,,0.013534719124436378,3.7307825088500977
14,369,,,0.9447312355041504,,
14,374,,,,0.01941937953233719,3.6554830074310303
14,374,0.01628173515200615,1.4252924919128418,,,
15,379,,,0.8399174809455872,,
15,387,,,,0.017261670902371407,3.696239948272705
15,389,,,0.8437132835388184,,
15,399,,,0.6811784505844116,,
15,399,,,,0.016477050259709358,3.7121033668518066
15,399,0.015177888795733452,1.2461745738983154,,,
16,409,,,2.653266191482544,,
16,412,,,,0.016084739938378334,3.717738628387451
16,411,0.012900506146252155,1.1120246648788452,,,
